kreds,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer,antal vælgere
Maribo,593,44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,758
Askø,1226,85,11,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1640
Østofte,4178,345,35,31,22,1,0,1,0,0,0,1,0,0,4,0,2,0,4,2,0,0,0,2,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5199
Nakskov Vest,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,45
Nakskov Øst,1959,117,25,23,14,0,4,0,0,0,1,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2543
Birket,4915,439,60,51,43,0,0,3,0,0,0,1,0,0,0,0,4,0,9,5,0,0,0,0,2,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,6739
Fejø,3115,253,55,46,35,0,0,2,0,0,3,0,0,0,2,0,4,0,9,4,0,1,0,0,2,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,4037
Femø,321,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,393
Horslunde,332,16,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,378
Dannemare,92,14,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,112
Rødby,1455,93,22,22,19,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1916
Rødbyhavn,1638,143,25,21,16,0,0,3,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2092
2. GULDBORGSUND,2202,164,22,20,17,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2909
Byen,915,68,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1324
Østerbro,37975,2773,504,449,342,20,7,18,5,0,4,6,1,0,21,2,22,1,55,17,6,3,1,4,9,11,0,0,0,3,1,35,7,0,0,2,18,0,8,0,47446
Lindeskov,2788,356,35,26,20,0,0,2,0,0,0,0,0,0,1,0,3,0,9,0,0,0,0,0,4,5,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3772
Ejegod,2481,130,33,33,26,2,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3162
Kraghave,2286,179,20,19,15,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2872
Toreby,2755,258,38,32,21,4,0,1,0,0,0,0,0,0,0,1,5,0,6,2,2,0,1,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3407
Sundby,1789,90,21,20,16,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2085
Nysted,1182,74,14,13,10,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,1476
