kreds,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer,antal vælgere
Lille Næstved Skole - Hyllinge,2332,211,17,14,10,1,0,0,0,0,0,0,0,0,0,1,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2667
5. FAXE,3730,326,35,31,24,3,0,2,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4497
Haslev 01,2795,177,34,31,25,1,0,1,1,0,1,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,3672
Haslev 02,591,25,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,669
Faxe,1206,64,11,10,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1470
Hylleholt,1929,195,5,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2191
Karise,37233,2649,412,356,292,9,0,21,9,0,2,1,0,0,3,1,14,4,56,24,7,3,1,5,7,5,2,0,0,2,0,30,10,1,1,0,5,1,12,0,44862
Dalby,4597,345,50,42,33,1,0,3,1,0,0,0,0,0,2,1,0,1,8,3,1,0,0,1,1,0,2,0,0,0,0,..,..,..,..,..,..,..,..,..,5443
Rønnede,5054,463,58,48,39,1,0,4,2,0,0,0,0,0,0,0,2,0,10,4,1,1,0,1,2,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,6280
Hårlevhallen,2954,216,48,41,30,1,0,2,0,0,1,0,0,0,0,0,7,0,7,2,1,0,1,2,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3722
Strøbyhallen,2680,179,26,21,19,0,0,0,0,0,1,0,0,0,0,0,1,0,5,3,0,0,0,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3215
Stevnshallen,2727,161,39,35,27,0,0,3,1,0,0,1,0,0,0,0,1,2,4,2,2,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3228
Sydstevnshallen,2305,124,31,27,26,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2788
6. KØGE,2291,127,29,27,24,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2809
Køge By - Midt,3644,236,43,35,29,1,0,3,0,0,0,0,0,0,0,0,1,1,8,1,0,1,0,1,3,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,4391
Køge By - Vest,4799,362,27,25,18,2,0,1,2,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5508
Lellinge,3639,294,42,38,33,2,0,1,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4461
Højelse / Lille Skensved,2543,142,19,17,14,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3017
Ølby,55707,4094,566,476,391,15,0,10,4,0,16,4,0,0,3,2,30,1,90,40,3,5,1,6,10,15,0,0,0,10,0,29,3,2,0,5,7,0,12,0,64780
Ølsemagle,3243,336,35,33,28,3,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3798
Herfølge,3553,228,34,31,28,1,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4387
Alkestrup,637,38,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,718
Hastrup,1397,94,15,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1620
Køge By - Nord,3290,229,43,32,28,2,0,0,0,0,0,0,0,0,0,0,2,0,11,3,1,1,0,0,0,3,0,0,0,3,0,..,..,..,..,..,..,..,..,..,4017
Herfølge - Syd,2691,174,23,22,20,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3176
Borup,2108,154,27,24,17,1,0,0,3,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2535
Ejby,874,23,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1015
Gørslev,3610,287,32,30,22,1,0,3,0,0,1,1,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4244
Bjæverskov,3328,304,32,5,1,2,0,0,0,0,0,0,0,0,0,1,1,0,27,23,0,1,0,0,1,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3835
Vemmedrup,2172,120,28,26,19,0,0,1,0,0,2,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2597
Hyllinge-Lyndby,3900,329,35,27,23,0,0,1,0,0,1,0,0,0,0,0,2,0,8,3,0,0,0,0,3,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,4520
Rye,2509,193,26,24,21,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2837
Sæby-Gershøj,847,44,6,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,978
Sonnerup,2229,125,20,19,15,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2607
Glim,1159,54,10,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1286
Hvalsø,2695,228,31,27,24,0,0,0,0,0,2,0,0,0,0,0,1,0,4,2,0,0,0,1,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,3151
Kr.Såby,1723,128,20,18,17,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1999
Gevninge,1137,80,16,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,1288
Lejre,965,53,13,13,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1111
Osted,825,51,6,6,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,937
7. GREVE,3092,283,29,22,15,2,0,0,1,0,2,0,0,0,0,0,2,0,7,1,1,0,0,1,1,1,0,0,0,2,0,..,..,..,..,..,..,..,..,..,3486
Arenaskolen,1918,111,20,19,13,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2194
Krogårdskolen,1932,146,21,17,14,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2143
Holmeagerskolen,1838,178,15,10,9,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,1,0,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1982
Mosedeskolen,2035,104,18,18,12,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2319
Karlslunde Hallerne,44912,4131,400,336,233,40,2,17,4,0,6,0,3,0,4,5,20,2,64,12,6,10,0,7,17,2,0,0,0,10,0,32,0,0,1,4,22,0,5,4,52157
Tune Hallerne,2399,195,24,20,11,1,0,0,0,0,1,0,3,0,2,0,2,0,4,0,0,0,0,0,4,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2958
Hundige Hallen,4608,465,40,35,17,14,0,2,0,0,0,0,0,0,2,0,0,0,5,1,0,1,0,1,0,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,5362
Havdrup Idrætscenter,6555,612,55,46,28,7,2,1,0,0,0,0,0,0,0,0,6,2,9,3,0,1,0,1,3,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,7684
Munkekærhallen,3419,310,26,23,16,4,0,0,1,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3776
Solrød Idrætscenter,5612,563,42,32,24,3,0,0,1,0,1,0,0,0,0,0,3,0,10,3,1,5,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,6386
8. ROSKILDE,4597,339,37,30,17,2,0,5,0,0,4,0,0,0,0,1,1,0,7,2,0,1,0,0,1,0,0,0,0,3,0,..,..,..,..,..,..,..,..,..,5196
Roskilde Bymidte,3167,324,40,33,21,2,0,3,2,0,0,0,0,0,0,2,3,0,7,1,0,2,0,0,4,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4173
Klostermarken,3039,150,28,27,20,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3504
Sankt Jørgen,5166,549,47,37,33,1,0,0,0,0,0,0,0,0,0,1,2,0,10,0,3,0,0,2,1,1,0,0,0,3,0,..,..,..,..,..,..,..,..,..,5843
Hedegårdene,6350,624,61,53,46,3,0,3,0,0,0,0,0,0,0,0,1,0,8,0,2,0,0,2,2,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,7275
Østervang,55622,5483,579,503,371,43,22,19,6,0,6,3,0,0,14,0,18,1,76,36,0,4,2,9,12,2,0,1,1,9,0,88,0,0,0,8,12,0,68,0,64331
Himmelev,3759,529,31,30,27,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4423
Svogerslev,4001,490,39,34,26,2,2,1,0,0,0,1,0,0,1,0,1,0,5,1,0,0,1,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4448
Vindinge,5254,629,65,48,27,9,0,3,0,0,0,0,0,0,3,0,6,0,17,9,0,1,0,3,0,2,0,0,0,2,0,..,..,..,..,..,..,..,..,..,6291
Vor Frue,3075,296,36,28,14,2,0,2,0,0,0,0,0,0,6,0,4,0,8,3,0,2,0,0,0,0,0,0,0,3,0,..,..,..,..,..,..,..,..,..,3678
Æblehaven,4301,351,54,48,43,0,0,0,0,0,5,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,5316
Gundsølille,5276,611,32,26,22,0,1,0,2,0,0,0,0,0,0,0,1,0,6,4,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5830
Jyllinge,3032,234,24,24,18,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3322
Gundsømagle,1684,135,21,20,16,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1865
Baunehøj,818,44,9,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,935
Gadstrup,4200,414,69,62,39,8,11,2,0,0,0,0,0,0,0,0,1,1,7,3,0,0,0,1,1,0,0,1,1,0,0,..,..,..,..,..,..,..,..,..,5306
Viby,2281,184,22,20,11,5,0,0,1,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2601
Snoldelev,4257,457,41,36,25,2,0,3,1,0,0,1,0,0,2,0,2,0,5,1,0,1,0,1,0,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,4826
Dåstrup,1957,131,19,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2192
Trekroner,2374,208,30,26,19,4,1,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,1,0,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2681
9. HOLBÆK,1579,96,22,22,17,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1735
Holbæk Øst,2864,279,28,26,20,1,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3289
Holbæk Vest,718,36,8,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,826
Holbæk Midt,1088,72,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1203
Vipperød,3104,287,21,14,12,0,1,1,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3564
Tuse,43964,3536,490,416,326,27,3,15,1,0,6,5,2,0,8,2,9,12,74,24,9,8,2,9,5,11,2,1,0,3,0,23,0,2,0,2,2,0,17,0,52991
Udby,6301,670,59,47,39,1,0,2,0,0,0,0,0,0,4,0,1,0,12,6,1,2,0,1,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,7517
Tølløse,5845,657,75,55,42,8,1,1,0,0,2,1,0,0,0,0,0,0,20,3,1,3,1,5,3,0,1,0,0,3,0,..,..,..,..,..,..,..,..,..,7381
St. Merløse,3810,428,70,59,35,9,0,2,0,0,0,2,0,0,0,0,1,10,11,3,1,0,0,1,0,6,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4676
Regstrup,2707,186,35,34,33,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3034
Undløse,2923,227,27,23,17,2,0,0,0,0,1,0,0,0,3,0,0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3358
Jyderup,1574,86,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1823
Mørkøv,3209,259,30,26,20,0,2,1,0,0,0,1,0,0,0,0,2,0,4,2,0,1,0,0,0,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,3759
Svinninge,2221,123,24,22,18,1,0,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2626
Gislinge,2615,154,21,20,15,0,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3068
Orø,2062,107,12,12,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2521
10. KALUNDBORG,3120,216,35,27,21,1,0,1,0,0,1,0,0,0,0,0,2,1,8,4,1,1,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3904
Asnæs,2596,140,30,30,22,0,0,3,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3166
Fårevejle,2172,132,32,28,24,2,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2730
Grevinge,2167,117,23,19,16,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0,0,..,..,..,..,..,..,..,..,..,2652
Hørve,642,34,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,776
Odden,51732,3786,638,559,400,70,11,18,4,0,2,4,2,0,17,4,27,0,79,28,6,7,2,5,23,7,0,0,0,1,0,30,1,0,0,8,19,0,2,0,63878
Vig,2678,251,27,22,17,3,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3246
Nykøbing,2473,176,30,25,19,3,0,1,0,0,0,0,0,0,0,1,1,0,5,1,0,1,0,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3014
Rørvig,1609,168,22,18,13,1,0,0,0,0,0,0,0,0,3,0,1,0,4,1,0,0,0,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2056
Egebjerg,2047,114,33,33,23,6,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2552
Højby,935,70,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1129
Lumsås,2053,130,28,26,22,1,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2549
Nr. Asmindrup,3991,374,45,40,30,6,0,0,0,0,0,0,0,0,2,0,2,0,5,2,1,0,0,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4868
Snertinge,1172,132,18,12,7,0,3,0,0,0,0,1,0,0,0,0,1,0,6,2,3,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1342
Sejerø,977,90,8,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1186
Svebølle,2413,244,23,21,19,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3027
Gørlev,494,30,7,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,591
Kr. Helsinge,663,27,10,9,6,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,840
Reersø,2169,113,23,22,14,5,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2737
Svallerup,246,22,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,297
Ubby,2788,246,35,33,28,2,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3449
Høng,1902,79,28,25,13,6,0,0,0,0,0,1,0,0,2,0,3,0,3,1,1,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2401
Buerup,1211,64,12,10,7,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1460
Gierslev,432,39,8,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,527
Kalundborghallen,842,45,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1005
Rynkevang,1890,102,22,21,15,2,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2417
Tømmerup,3160,152,42,38,27,8,0,1,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,2,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,3868
Årby-Rørby,1177,72,17,17,11,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1430
Raklev,922,40,6,6,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1086
Røsnæs,2441,234,35,23,13,2,0,2,0,0,0,0,0,0,5,1,0,0,12,2,0,1,1,0,6,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3115
Ulshøj,2020,105,32,26,16,4,3,0,0,0,1,0,1,0,0,1,0,0,6,1,0,2,0,0,1,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2634
11. RINGSTED,983,59,14,12,9,0,1,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1227
Ringsted Nørretorv,2142,118,34,33,23,5,0,2,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2648
Bringstrup,2955,252,30,23,17,2,0,2,0,0,0,0,0,0,0,0,2,0,7,3,0,2,1,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3425
Gyrstinge,574,42,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,673
Benløse,2373,196,31,28,17,5,0,3,0,0,0,0,0,0,0,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3079
Haraldsted,39592,2497,418,367,284,9,0,27,1,0,5,5,4,0,7,3,21,1,51,15,4,2,0,5,16,5,1,2,0,1,0,32,5,0,0,7,8,0,12,0,47539
Ringsted Dagmarskolen,6739,556,84,73,57,0,0,6,0,0,0,0,4,0,0,0,6,0,11,3,0,0,0,1,4,2,0,1,0,0,0,..,..,..,..,..,..,..,..,..,8313
Jystrup,511,25,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,589
Kværkeby,523,21,7,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,588
Vetterslev,3563,210,26,22,20,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4131
Sneslev,889,39,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1021
Nordrup,3468,240,32,24,18,1,0,0,0,0,0,3,0,0,2,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4278
Vigersted,991,49,10,10,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1097
Dianalund,802,45,10,10,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,955
Ruds Vedby,870,46,10,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1006
Alsted Fjenneslev,449,26,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,526
Sorø,716,30,11,10,6,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,857
Frederiksberg,877,71,7,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1043
Pedersborg,541,22,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,649
Stenlille,3521,175,41,33,25,0,0,2,0,0,2,0,0,0,0,2,2,0,8,0,2,1,0,0,3,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,4430
12. SLAGELSE,1206,39,16,16,11,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1549
Dalmose,1180,53,13,12,9,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,1433
Flakkebjerg,3498,297,32,28,20,0,0,3,0,0,0,1,0,0,0,1,3,0,4,1,0,1,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4137
Slots Bjergby,3207,228,24,21,17,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3641
Sørbymagle,2573,193,34,31,25,0,0,1,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,1,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3074
