,,1700909,Rådhuset,3002
,,1700910,Rønnevangshallen,4286
,,1700911,Torstorp Skole,2294
,,1700912,Sengeløse,1640
,,1700913,Charlotteskolen,3522
,,1700914,Fløng Hallen,3461
,,1700915,Reerslev Skole,564
,,39,8. BALLERUP,41941
,,1700916,Tapeten,3343
,,1700917,Baltorpskolen - Rugvænget,4718
,,1700918,Skovvejens Skole - Vest,2318
,,1700919,Grantoftehallen,2289
,,1700920,Idrætshallen,3349
,,1700921,Skovlunde Skole - Nord,4428
,,1700922,Måløv Ny Hal,3614
,,1700923,Egebjerghallen,2933
,,1700924,Østerhøjhallen,1894
,,1700925,Nordvangskolen,2026
,,1700926,Sognegården,1994
,,1700927,Søndervangskolen,3249
,,1700928,Vestervangskolen,2201
,,1700929,Ejbyskolen,1323
,,1700930,Hvissingehallen,2262
,,12,NORDSJÆLLANDS STORKREDS,289676
,,40,1. HELSINGØR,38463
,,1700931,Helsingør Hallen,7793
,,1700932,Skolen ved Gurrevej,5747
,,1700933,"Laden, Gl. Vapnagård",4361
,,1700934,Bølgen,3731
,,1700935,Hornbæk Skole,3422
,,1700936,Nygård Skole,886
,,1700937,Tikøb Skole,1130
,,1700938,Kvistgård Idrætsanlæg,702
,,1700939,Snekkersten Hallen,3261
,,1700940,Espergærde Bibliotek,3157
,,1700941,Mørdrupskolen,4273
,,41,2. FREDENSBORG,40813
,,1700942,Asminderød,4107
,,1700943,Fredensborg,3064
,,1700944,Humlebæk,2997
,,1700945,Baunebjerg,3160
,,1700946,Kokkedal,5642
,,1700947,Niverød,2568
,,1700948,Karlebo,785
,,1700949,Nivå,2193
,,1700950,Hørsholm,4253
,,1700951,Usserød,4290
,,1700952,Rungsted,3111
,,1700953,Grønnegade,281
,,1700954,Vallerød,4362
,,42,3. HILLERØD,58054
,,1700955,Frederiksborgcentret,5813
,,1700956,Hillerødsholmsskolen,3963
,,1700957,Brødeskov,587
,,1700958,Hammersholt,1090
,,1700959,Alsønderup,1557
,,1700960,Ullerød,3721
,,1700961,Nødebo,1384
,,1700962,Gadevang,807
,,1700963,"Grønnevang Skole, Jespervej",2866
