navn,nummer,dagi_id
Skåde Skole,66,700902
Katrinebjergskolen,67,703918
Vorrevangskolen,68,708524
Ejstrup,1,705552
Gludsted,2,703930
Nørre Snede,3,709984
Klovborg,4,713316
Brande,5,702176
Blåhøj,6,713298
Ikast,7,711380
Isenvad,8,703924
Bording,9,713304
Engesvang,10,713310
Tarm,1,707956
Holmsland,2,706404
Hoven,3,706524
Lyne,5,703696
Bork,8,706466
Lønborg,9,703622
Hvide Sande,10,712176
Velling,12,706556
Ølstrup,13,709756
Ringkøbing,14,705180
Hee,16,712306
Stadil,19,709750
Højmark,20,706590
Lem,21,711192
Tim,22,706568
Skjern,24,711186
Borris,25,703690
Faster,26,706584
Rækker Mølle,27,703702
Stauning,28,709682
Videbæk,30,706530
Nr.Vium,31,712292
Troldhede,32,707950
Vorgod-Barde,33,711210
Spjald,35,703684
"Hedensted, St.Dalby Og Urlev",1,702112
Løsning Sogn,2,706834
Ø. Snede Sogn,3,702132
Daugård Og Ørum Sogne,4,705478
Korning Sogn,5,703888
Ølsted Og Eriknauer-Området,6,711322
Juelsminde/Klakring,7,705470
As,8,708504
Barrit,10,706828
Bjerre,11,703906
Hornsyld,12,711310
Stouby,13,709924
Rårup,14,700852
Glud,15,702118
Hjarnø,16,708466
Rask Mølle,17,703900
Hvirring,18,708474
Hornborg,19,702138
Lindved,20,700846
Tørring,21,703894
Uldum,22,706840
Aale,23,709918
Ølholm,24,711316
Hjortsvang,25,702126
Sejerslev,1,705682
Øster Jølby,2,702454
Vils,3,711508
Hvidbjerg,4,711514
Nykøbing,5,710282
Aakjær,1,710226
Skivehus,2,704098
Brårup,3,702436
Højslev,4,704104
Ørslevkloster,5,704112
Rønbjerg,6,711502
Hem,7,704118
Lihme,8,707030
Oddense - Otting,9,701086
Rødding,10,710220
Glyngøre,11,705676
Durup,12,710214
Roslev,13,711490
Jebjerg-Lyby,14,711496
Balling,15,702422
Breum,16,701070
Håsum-Ramsing,17,707038
Selde,18,711480
Lem-Vejby,19,702430
Fur,20,701060
Thisted,1,705918
Vorupør,5,702944
Nors,6,709112
Sennels,7,705906
Sjørring,8,704712
Snedsted,10,708884
"Øsløs, Vesløs og Arup",15,701270
Østerild,16,711822
Hanstholm,17,702896
Klitmøller,19,705976
Frøstrup,20,709118
Bedsted,23,704700
Hurup,24,707382
Koldby,25,701288
Vestervig,26,705982
Frederiks,1,708912
Hald Ege,2,702938
Karup,3,711744
Løgstrup,4,701332
Mønsted,5,702956
Stoholm,6,704488
Vridsted,7,704480
Viborg,8,702932
Bjerringbro Nord,9,704706
Bjerringbro Syd,10,710702
Hammershøj,11,701488
Møldrup,12,711838
Overlund,13,709124
Rødding,14,709100
Rødkærsbro,15,710696
Skals,16,709090
Ørum,17,709106
Agersted,1,708624
Asaa,2,708636
Dronninglund,3,705640
Flauenskjold,4,700996
Hjallerup,5,700990
Klokkerholm,6,704006
Brønderslev,10,710140
Stenum,34,702304
Thise,40,704012
Ø. Brønderslev,50,705646
Hallund,56,704018
Jerslev,70,711454
Serritslev,80,708630
Skagen,1,705148
Hulsig,2,706348
Ålbæk,3,705156
Jerup,4,709634
Elling,5,712132
Strandby,6,711060
Frederikshavn Nord,7,706336
Frederikshavn Midt,8,710978
Frederikshavn Syd,9,707846
Ravnshøj,10,709628
Gærum,11,703530
Sæby,12,705142
Brønden,13,703510
Dybvad,14,712112
Hørby,15,703516
Præstbro,16,712118
Thorshøj,17,711036
Understed,18,703536
Voerså,19,703504
Volstrup,20,711054
Østervrå,21,712138
Lyngså,22,705090
Aalestrup,1,708562
Farsø,2,705538
Strandby,3,708538
Aars,4,700858
Hvalpsund,5,711328
Gislum-Vognsild,6,710016
Gedsted,7,710008
Hornum-Ulstrup,8,705558
Vester Hornum,9,710002
Løgstør,10,702144
Ranum,11,709958
Salling,12,706876
Overlade,13,700908
Skivum-Giver,14,709966
Læsø,15,702460
Støvring,1,707882
Skørping,2,709658
Terndrup,3,703572
Suldrup,4,712170
Nørager,5,712164
Haverslev,6,709652
Øster Hornum,7,701822
Bælum,8,711096
Ravnkilde,9,706392
Blenstrup,10,712144
Veggerby,11,705168
Assens,2,708668
Mariager,3,700964
Arden,4,707018
Valsgård,8,702354
Vebbestrup,9,701046
Hadsund,11,705600
Veddum-Skelund,14,702360
Als,18,710066
Hørby,20,708660
Onsild,22,706980
Hobro,27,702292
Aabybro,1,709280
Biersted,2,701500
Nørhalne,3,701540
Vedsted,4,711896
Gjøl,5,710716
Ingstrup,6,709244
V. Hjermitslev,7,709274
Brovst,8,711858
Halvrimmen,9,706102
Arentsminde,10,703190
Tranum,11,709250
Skovsgård,12,707638
Fjerritslev,13,707632
Thorup,14,704750
Ørebro,15,711844
Trekroner,16,703196
Pandrup,18,704764
Kaas,19,704770
Hune,20,701514
Saltum,21,703310
"Gl. Lindholm Skole, Kulturhus",3,711766
PFA Kollegiet i Nørresundby,4,748032
Løvvanghallen,5,707424
Multihallen Ved Vadumhallen,7,706034
Sulsted Skolehal,10,701402
Vodskov Kultur & Idrætscenter,11,708960
"HF&VUC Nord, Godsbanen",12,748033
Vesterkærets Skole,14,705992
Haraldslund,15,704474
Aalborghallen,16,711774
Skipperens Idrætshus,17,710526
Hallen Ved Skalborggård,18,704462
Kfum - Hallen,19,701344
Hasseris Gymnasium,20,748031
Frejlev Skoles Idrætshal,22,705964
Svenstruphallen,24,708924
Sønderbroskolen,27,708938
Nordkraft,28,748030
Gigantium,29,704506
Vejgaardhallen,30,707394
Vejgaard Østre Skole,31,708918
Mellervangskolens Idrætshal,32,711750
Klaruphallen,33,701338
Gughallen,34,706010
Gistrup Skoles Idrætshal,35,702950
Aalborghus Gymnasium,36,748034
Ferslev Skolehal,38,705970
"Tornhøjskolen, Hallen",40,704494
Vester Hassing Hallen,43,710544
Hals Skole,44,710552
Ulstedhallen,46,708966
Nibe Hallen,47,705942
Farstruphallen,52,707350
Idrætscentret Kongerslev,56,707406
Mou Hotel,58,702918
Båndby - Hallen,61,701356
Horne,1,702860
Hirtshals,3,710464
Hjørring - Centrum,4,710442
Tornby,6,710458
Bindslev,7,708788
Tversted,8,710470
Taars,11,701230
Vrejlev-Hæstrup,12,710436
Bjergby-Mygdal,13,710488
Skallerup,14,701236
Hjørring - Nord,15,704384
Hjørring - Syd,16,702842
Hjørring - Vest,18,702836
Vrå,19,702854
Hundelev,20,710482
Løkken,21,702848
Sindal,22,707320
Astrup,23,704372
Tolne,26,710452
Ugilt,27,701248
Lendum,28,701242
