navn,nummer,dagi_id
Tune Hallerne,5,718910
Køge By - Midt,1,706846
Køge By - Vest,2,709930
Lellinge,3,706854
Højelse / Lille Skensved,4,702170
Ølby,5,705508
Ølsemagle,6,708480
Herfølge,7,705496
Alkestrup,8,708512
Hastrup,9,705502
Køge By - Nord,10,711336
Herfølge - Syd,11,705490
Borup,12,703912
Ejby,13,700864
Gørslev,14,702164
Bjæverskov,15,711350
Vemmedrup,16,711344
Hundested,1,704878
Melby,2,704906
Enghaven,3,707654
Frederiksværk,4,707698
Ølsted,5,710776
Roskilde Bymidte,1,707284
Klostermarken,2,708806
Sankt Jørgen,3,704350
Hedegårdene,4,710476
Østervang,5,704378
Himmelev,6,702794
Svogerslev,7,705900
Vindinge,8,704396
Vor Frue,9,711680
Tjørnegård,10,711710
Gundsølille,11,704320
Jyllinge,13,704358
Gundsømagle,14,711686
Baunehøj,15,710404
Gadstrup,16,707314
Viby,17,707326
Snoldelev,18,707332
Trekroner,21,704402
Havdrup,1,705362
Det Nordlige Strandområde,4,703748
Det Sydlige Strandområde,5,703740
Blistrup,1,708756
Esbønderup,2,701158
Valby,3,708732
Græsted,4,704286
Annisse,5,705834
Gilleleje,6,711598
Søborg,7,707246
Helsinge,8,704298
Mårum,9,705812
Ramløse,10,702752
Vejby,11,704292
Tibirke,12,701184
Asnæs,1,701320
Fårevejle,2,704442
Grevinge,3,710508
Hørve,4,711730
Odden,5,708906
Vig,6,704468
Nykøbing,7,710514
Rørvig,8,701300
Egebjerg,10,708896
Højby,11,708820
Lumsås,12,701326
Nr. Asmindrup,13,707376
Holbæk Øst,1,708890
Holbæk Vest,2,705950
Holbæk Midt,3,702906
Vipperød,4,705924
Tuse,5,705958
Udby,6,708868
Tølløse,7,708878
St. Merløse,8,701294
Regstrup,9,707370
Undløse,10,704456
Jyderup,11,704450
Mørkøv,12,701314
Svinninge,13,708862
Gislinge,14,710502
Orø,15,707528
Haslev 01,1,702698
Haslev 02,2,704216
Faxe,3,701130
Hylleholt,4,701124
Karise,5,710310
Dalby,6,707142
Rønnede,7,710328
Snertinge,1,705664
Sejerø,2,708648
Svebølle,3,701040
Gørlev,4,707012
Kr. Helsinge,5,704036
Reersø,6,702334
Svallerup,7,707004
Ubby,8,708654
Høng,9,702316
Buerup,10,701026
Gierslev,11,702322
